update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
75,75,25,0,0.95,0.1,-14.939042511,10,-0.59756170044,0.4,-14.939042511,10,-0.59756170044,0.4
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
76,76,25,0,0.95,0.1,-14.939042511,10,-0.59756170044,0.4,-14.939042511,10,-0.59756170044,0.4
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
77,77,25,0,0.9493333333333334,0.1,-14.939042511,10,-0.59756170044,0.4,-14.939042511,10,-0.59756170044,0.4
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
78,78,25,0,0.9486666666666667,0.1,-14.939042511,10,-0.59756170044,0.4,-14.939042511,10,-0.59756170044,0.4
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
78,78,26,0,0.948,0.1,-15.839042511,10,-0.6091939427307692,0.38461538461538464,-15.839042511,10,-0.609193942731,0.384615384615
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
79,79,26,0,0.948,0.1,-15.839042511,10,-0.6091939427307692,0.38461538461538464,-15.839042511,10,-0.609193942731,0.384615384615
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
80,80,26,0,0.9473333333333334,0.1,-15.839042511,10,-0.6091939427307692,0.38461538461538464,-15.839042511,10,-0.609193942731,0.384615384615
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
81,81,26,0,0.9466666666666667,0.1,-15.839042511,10,-0.6091939427307692,0.38461538461538464,-15.839042511,10,-0.609193942731,0.384615384615
update,frames,Games,duration,eps,lr,Loss,Returns,Avg Loss,Avg Returns,Loss,Returns,Avg Loss,Avg Returns
